code,description
A156,"Tuberculous pleurisy, confirmed bacteriologically and histologically"
A157,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically"
A158,"Other respiratory tuberculosis, confirmed bacteriologically and histologically"
A159,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically"
A160,"Tuberculosis of lung, bacteriologically and histologically negative"
A161,"Tuberculosis of lung, bacteriological and histological examination not done"
A162,"Tuberculosis of lung, without mention of bacteriological or histological confirmation"
A163,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation"
A164,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation"
A165,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation"
A167,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation
A168,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation"
A169,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"
A170,Tuberculous meningitis
A171,Meningeal tuberculoma
A178,Other tuberculosis of nervous system
A179,"Tuberculosis of nervous system, unspecified"
A180,Tuberculosis of bones and joints
A181,Tuberculosis of genitourinary system
A182,Tuberculous peripheral lymphadenopathy
A183,"Tuberculosis of intestines, peritoneum and mesenteric glands"
A184,Tuberculosis of skin and subcutaneous tissue
A185,Tuberculosis of eye
A186,Tuberculosis of ear
A187,Tuberculosis of adrenal glands
A188,Tuberculosis of other specified organs
A190,Acute miliary tuberculosis of a single specified site
A191,Acute miliary tuberculosis of multiple sites
A192,"Acute miliary tuberculosis, unspecified"
A198,Other miliary tuberculosis
A199,"Miliary tuberculosis, unspecified"
A200,Bubonic plague
A201,Cellulocutaneous plague
A202,Pneumonic plague
A203,Plague meningitis
A207,Septicaemic plague
A208,Other forms of plague
A209,"Plague, unspecified"
A210,Ulceroglandular tularaemia
A211,Oculoglandular tularaemia
A212,Pulmonary tularaemia
A213,Gastrointestinal tularaemia
A217,Generalized tularaemia
A218,Other forms of tularaemia
A219,"Tularaemia, unspecified"
A220,Cutaneous anthrax
A221,Pulmonary anthrax
A222,Gastrointestinal anthrax
A227,Anthrax sepsis
A228,Other forms of anthrax
A229,"Anthrax, unspecified"
A230,Brucellosis due to Brucella melitensis
A231,Brucellosis due to Brucella abortus
A232,Brucellosis due to Brucella suis
A233,Brucellosis due to Brucella canis
A238,Other brucellosis
A239,"Brucellosis, unspecified"
A240,Glanders
A241,Acute and fulminating melioidosis
A242,Subacute and chronic melioidosis
A243,Other melioidosis
A244,"Melioidosis, unspecified"
A250,Spirillosis
A251,Streptobacillosis
A259,"Rat-bite fever, unspecified"
A260,Cutaneous erysipeloid
A267,Erysipelothrix sepsis
A268,Other forms of erysipeloid
A269,"Erysipeloid, unspecified"
A270,Leptospirosis icterohaemorrhagica
A278,Other forms of leptospirosis
A279,"Leptospirosis, unspecified"
A280,Pasteurellosis
A281,Cat-scratch disease
A282,Extraintestinal yersiniosis
A288,"Other specified zoonotic bacterial diseases, not elsewhere classified"
A289,"Zoonotic bacterial disease, unspecified"
A300,Indeterminate leprosy
A301,Tuberculoid leprosy
A302,Borderline tuberculoid leprosy
A303,Borderline leprosy
A304,Borderline lepromatous leprosy
A305,Lepromatous leprosy
A308,Other forms of leprosy
A309,"Leprosy, unspecified"
A310,Pulmonary mycobacterial infection
A311,Cutaneous mycobacterial infection
A318,Other mycobacterial infections
A319,"Mycobacterial infection, unspecified"
A320,Cutaneous listeriosis
A321,Listerial meningitis and meningoencephalitis
A327,Listerial sepsis
A328,Other forms of listeriosis
A329,"Listeriosis, unspecified"
A33X,Tetanus neonatorum
A34X,Obstetrical tetanus
A35X,Other tetanus
A360,Pharyngeal diphtheria
A361,Nasopharyngeal diphtheria
A362,Laryngeal diphtheria
A363,Cutaneous diphtheria
A368,Other diphtheria
A369,"Diphtheria, unspecified"
A370,Whooping cough due to Bordetella pertussis
A371,Whooping cough due to Bordetella parapertussis
A378,Whooping cough due to other Bordetella species
A379,"Whooping cough, unspecified"
A38X,Scarlet fever
A390,Meningococcal meningitis
A391,Waterhouse-Friderichsen syndrome
A392,Acute meningococcaemia
A393,Chronic meningococcaemia
A394,"Meningococcaemia, unspecified"
A395,Meningococcal heart disease
A398,Other meningococcal infections
A399,"Meningococcal infection, unspecified"
A400,"Sepsis due to streptococcus, group A"
A401,"Sepsis due to streptococcus, group B"
A402,"Sepsis due to streptococcus, group D"
A403,Sepsis due to Streptococcus pneumoniae
A408,Other streptococcal sepsis
A409,"Streptococcal sepsis, unspecified"
A410,Sepsis due to Staphylococcus aureus
A411,Sepsis due to other specified staphylococcus
A412,Sepsis due to unspecified staphylococcus
A413,Sepsis due to Haemophilus influenzae
A414,Sepsis due to anaerobes
A415,Sepsis due to other Gram-negative organisms
A418,Other specified sepsis
A419,"Sepsis, unspecified"
A420,Pulmonary actinomycosis
A421,Abdominal actinomycosis
A422,Cervicofacial actinomycosis
A427,Actinomycotic sepsis
A428,Other forms of actinomycosis
A429,"Actinomycosis, unspecified"
A430,Pulmonary nocardiosis
A431,Cutaneous nocardiosis
A438,Other forms of nocardiosis
A439,"Nocardiosis, unspecified"
A440,Systemic bartonellosis
A441,Cutaneous and mucocutaneous bartonellosis
A448,Other forms of bartonellosis
A449,"Bartonellosis, unspecified"
A46X,Erysipelas
A480,Gas gangrene
A481,Legionnaires disease
A482,Nonpneumonic Legionnaires disease [Pontiac fever]
A483,Toxic shock syndrome
A484,Brazilian purpuric fever
A488,Other specified bacterial diseases
A490,"Staphylococcal infection, unspecified site"
A491,"Streptococcal and enterococcal infection, unspecified site"
A492,"Haemophilus influenzae infection, unspecified site"
A493,"Mycoplasma infection, unspecified site"
A498,Other bacterial infections of unspecified site
A499,"Bacterial infection, unspecified"
A500,"Early congenital syphilis, symptomatic"
A501,"Early congenital syphilis, latent"
A502,"Early congenital syphilis, unspecified"
A503,Late congenital syphilitic oculopathy
A504,Late congenital neurosyphilis [juvenile neurosyphilis]
A505,"Other late congenital syphilis, symptomatic"
A506,"Late congenital syphilis, latent"
A507,"Late congenital syphilis, unspecified"
A509,"Congenital syphilis, unspecified"
A510,Primary genital syphilis
A511,Primary anal syphilis
A512,Primary syphilis of other sites
A513,Secondary syphilis of skin and mucous membranes
A514,Other secondary syphilis
A515,"Early syphilis, latent"
A519,"Early syphilis, unspecified"
A520,Cardiovascular syphilis
A521,Symptomatic neurosyphilis
A522,Asymptomatic neurosyphilis
A523,"Neurosyphilis, unspecified"
A527,Other symptomatic late syphilis
A528,"Late syphilis, latent"
A529,"Late syphilis, unspecified"
A530,"Latent syphilis, unspecified as early or late"
A539,"Syphilis, unspecified"
A540,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess
A541,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess
A542,Gonococcal pelviperitonitis and other gonococcal genitourinary infections
A543,Gonococcal infection of eye
A544,Gonococcal infection of musculoskeletal system
A545,Gonococcal pharyngitis
A546,Gonococcal infection of anus and rectum
A548,Other gonococcal infections
A549,"Gonococcal infection, unspecified"
A55X,Chlamydial lymphogranuloma (venereum)
A560,Chlamydial infection of lower genitourinary tract
A561,Chlamydial infection of pelviperitoneum and other genitourinary organs
A562,"Chlamydial infection of genitourinary tract, unspecified"
A563,Chlamydial infection of anus and rectum
A564,Chlamydial infection of pharynx
A568,Sexually transmitted chlamydial infection of other sites
A57X,Chancroid
A58X,Granuloma inguinale
A590,Urogenital trichomoniasis
A598,Trichomoniasis of other sites
A599,"Trichomoniasis, unspecified"
A600,Herpesviral infection of genitalia and urogenital tract
A601,Herpesviral infection of perianal skin and rectum
A609,"Anogenital herpesviral infection, unspecified"
A630,Anogenital (venereal) warts
A638,Other specified predominantly sexually transmitted diseases
A64X,Unspecified sexually transmitted disease
A65X,Nonvenereal syphilis
A660,Initial lesions of yaws
A661,Multiple papillomata and wet crab yaws
A662,Other early skin lesions of yaws
A663,Hyperkeratosis of yaws
A664,Gummata and ulcers of yaws
A665,Gangosa
A666,Bone and joint lesions of yaws
A667,Other manifestations of yaws
A668,Latent yaws
A669,"Yaws, unspecified"
A670,Primary lesions of pinta
A671,Intermediate lesions of pinta
A672,Late lesions of pinta
A673,Mixed lesions of pinta
A679,"Pinta, unspecified"
A680,Louse-borne relapsing fever
A681,Tick-borne relapsing fever
A689,"Relapsing fever, unspecified"
A690,Necrotizing ulcerative stomatitis
A691,Other Vincent infections
A692,Lyme disease
A698,Other specified spirochaetal infections
A699,"Spirochaetal infection, unspecified"
A70X,Chlamydia psittaci infection
A710,Initial stage of trachoma
A711,Active stage of trachoma
A719,"Trachoma, unspecified"
A740,Chlamydial conjunctivitis
A748,Other chlamydial diseases
A749,"Chlamydial infection, unspecified"
A750,Epidemic louse-borne typhus fever due to Rickettsia prowazekii
A751,Recrudescent typhus [Brill disease]
A752,Typhus fever due to Rickettsia typhi
A753,Typhus fever due to Rickettsia tsutsugamushi
A759,"Typhus fever, unspecified"
A770,Spotted fever due to Rickettsia rickettsii
A771,Spotted fever due to Rickettsia conorii
A772,Spotted fever due to Rickettsia sibirica
A773,Spotted fever due to Rickettsia australis
A778,Other spotted fevers
A779,"Spotted fever, unspecified"
A78X,Q fever
A790,Trench fever
A791,Rickettsialpox due to Rickettsia akari
A798,Other specified rickettsioses
A799,"Rickettsiosis, unspecified"
A800,"Acute paralytic poliomyelitis, vaccine-associated"
A801,"Acute paralytic poliomyelitis, wild virus, imported"
A802,"Acute paralytic poliomyelitis, wild virus, indigenous"
A803,"Acute paralytic poliomyelitis, other and unspecified"
A804,Acute nonparalytic poliomyelitis
A809,"Acute poliomyelitis, unspecified"
A810,Creutzfeldt-Jakob disease
A811,Subacute sclerosing panencephalitis
A812,Progressive multifocal leukoencephalopathy
A818,Other atypical virus infections of central nervous system
A819,"Atypical virus infection of central nervous system, unspecified"
A820,Sylvatic rabies
A821,Urban rabies
A829,"Rabies, unspecified"
A830,Japanese encephalitis
A831,Western equine encephalitis
A832,Eastern equine encephalitis
A833,St Louis encephalitis
A834,Australian encephalitis
A835,California encephalitis
A836,Rocio virus disease
A838,Other mosquito-borne viral encephalitis
A839,"Mosquito-borne viral encephalitis, unspecified"
A840,Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis]
A841,Central European tick-borne encephalitis
A848,Other tick-borne viral encephalitis
A849,"Tick-borne viral encephalitis, unspecified"
A850,Enteroviral encephalitis
A851,Adenoviral encephalitis
A852,"Arthropod-borne viral encephalitis, unspecified"
A858,Other specified viral encephalitis
A86X,Unspecified viral encephalitis
A870,Enteroviral meningitis
A871,Adenoviral meningitis
A872,Lymphocytic choriomeningitis
A878,Other viral meningitis
A879,"Viral meningitis, unspecified"
A880,Enteroviral exanthematous fever [Boston exanthem]
A881,Epidemic vertigo
A888,Other specified viral infections of central nervous system
A89X,Unspecified viral infection of central nervous system
A920,Chikungunya virus disease
A921,O'nyong-nyong fever
A922,Venezuelan equine fever
A923,West Nile virus infection
A924,Rift Valley fever
A928,Other specified mosquito-borne viral fevers
A929,"Mosquito-borne viral fever, unspecified"
A930,Oropouche virus disease
A931,Sandfly fever
A932,Colorado tick fever
A938,Other specified arthropod-borne viral fevers
A94X,Unspecified arthropod-borne viral fever
A950,Sylvatic yellow fever
A951,Urban yellow fever
A959,"Yellow fever, unspecified"
A960,Junin haemorrhagic fever
A961,Machupo haemorrhagic fever
A962,Lassa fever
A968,Other arenaviral haemorrhagic fevers
A969,"Arenaviral haemorrhagic fever, unspecified"
A970,Dengue without warning signs
A971,Dengue with warning signs
A972,Severe Dengue
A979,"Dengue, unspecified"
A980,Crimean-Congo haemorrhagic fever
A981,Omsk haemorrhagic fever
A982,Kyasanur Forest disease
A983,Marburg virus disease
A984,Ebola virus disease
A985,Haemorrhagic fever with renal syndrome
A988,Other specified viral haemorrhagic fevers
A99X,Unspecified viral haemorrhagic fever
B000,Eczema herpeticum
B001,Herpesviral vesicular dermatitis
B002,Herpesviral gingivostomatitis and pharyngotonsillitis
B003,Herpesviral meningitis
B004,Herpesviral encephalitis
B005,Herpesviral ocular disease
B007,Disseminated herpesviral disease
B008,Other forms of herpesviral infection
B009,"Herpesviral infection, unspecified"
B010,Varicella meningitis
B011,Varicella encephalitis
B012,Varicella pneumonia
B018,Varicella with other complications
B019,Varicella without complication
B020,Zoster encephalitis
B021,Zoster meningitis
B022,Zoster with other nervous system involvement
B023,Zoster ocular disease
B027,Disseminated zoster
B028,Zoster with other complications
B029,Zoster without complication
B03X,Smallpox
B04X,Monkeypox
B050,Measles complicated by encephalitis
B051,Measles complicated by meningitis
B052,Measles complicated by pneumonia
B053,Measles complicated by otitis media
B054,Measles with intestinal complications
B058,Measles with other complications
B059,Measles without complication
B060,Rubella with neurological complications
B068,Rubella with other complications
B069,Rubella without complication
B07X,Viral warts
B080,Other orthopoxvirus infections
B081,Molluscum contagiosum
B082,Exanthema subitum [sixth disease]
B083,Erythema infectiosum [fifth disease]
B084,Enteroviral vesicular stomatitis with exanthem
B085,Enteroviral vesicular pharyngitis
B088,Other specified viral infections characterized by skin and mucous membrane lesions
B09X,Unspecified viral infection characterized by skin and mucous membrane lesions
B150,Hepatitis A with hepatic coma
B159,Hepatitis A without hepatic coma
B160,Acute hepatitis B with delta-agent (coinfection) with hepatic coma
B161,Acute hepatitis B with delta-agent (coinfection) without hepatic coma
B162,Acute hepatitis B without delta-agent with hepatic coma
B169,Acute hepatitis B without delta-agent and without hepatic coma
B170,Acute delta-(super)infection of hepatitis B carrier
B171,Acute hepatitis C
B172,Acute hepatitis E
B178,Other specified acute viral hepatitis
B179,"Acute viral hepatitis, unspecified"
B180,Chronic viral hepatitis B with delta-agent
B181,Chronic viral hepatitis B without delta-agent
B182,Chronic viral hepatitis C
B188,Other chronic viral hepatitis
B189,"Chronic viral hepatitis, unspecified"
B190,Unspecified viral hepatitis with hepatic coma
B199,Unspecified viral hepatitis without hepatic coma
B200,HIV disease resulting in mycobacterial infection
B201,HIV disease resulting in other bacterial infections
B202,HIV disease resulting in cytomegaloviral disease
B203,HIV disease resulting in other viral infections
B204,HIV disease resulting in candidiasis
B205,HIV disease resulting in other mycoses
B206,HIV disease resulting in Pneumocystis jirovecii pneumonia
B207,HIV disease resulting in multiple infections
B208,HIV disease resulting in other infectious and parasitic diseases
B209,HIV disease resulting in unspecified infectious or parasitic disease
B210,HIV disease resulting in Kaposi sarcoma
B211,HIV disease resulting in Burkitt lymphoma
B212,HIV disease resulting in other types of non-Hodgkin lymphoma
B213,"HIV disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue"
B217,HIV disease resulting in multiple malignant neoplasms
B218,HIV disease resulting in other malignant neoplasms
B219,HIV disease resulting in unspecified malignant neoplasm
B220,HIV disease resulting in encephalopathy
B221,HIV disease resulting in lymphoid interstitial pneumonitis
B222,HIV disease resulting in wasting syndrome
B227,HIV disease resulting in multiple diseases classified elsewhere
B230,Acute HIV infection syndrome
B231,HIV disease resulting in (persistent) generalized lymphadenopathy
B232,"HIV disease resulting in haematological and immunological abnormalities, not elsewhere classified"
B238,HIV disease resulting in other specified conditions
B24X,Unspecified human immunodeficiency virus [HIV] disease
B250,Cytomegaloviral pneumonitis
B251,Cytomegaloviral hepatitis
B252,Cytomegaloviral pancreatitis
B258,Other cytomegaloviral diseases
B259,"Cytomegaloviral disease, unspecified"
B260,Mumps orchitis
B261,Mumps meningitis
B262,Mumps encephalitis
B263,Mumps pancreatitis
B268,Mumps with other complications
B269,Mumps without complication
B270,Gammaherpesviral mononucleosis
B271,Cytomegaloviral mononucleosis
B278,Other infectious mononucleosis
B279,"Infectious mononucleosis, unspecified"
B300,Keratoconjunctivitis due to adenovirus
B301,Conjunctivitis due to adenovirus
B302,Viral pharyngoconjunctivitis
B303,Acute epidemic haemorrhagic conjunctivitis (enteroviral)
B308,Other viral conjunctivitis
B309,"Viral conjunctivitis, unspecified"
B330,Epidemic myalgia
B331,Ross River disease
B332,Viral carditis
B333,"Retrovirus infections, not elsewhere classified"
B334,Hantavirus (cardio-)pulmonary syndrome [HPS] [HCPS]
B338,Other specified viral diseases
B340,"Adenovirus infection, unspecified site"
B341,"Enterovirus infection, unspecified site"
B342,"Coronavirus infection, unspecified site"
B343,"Parvovirus infection, unspecified site"
B344,"Papovavirus infection, unspecified site"
B348,Other viral infections of unspecified site
B349,"Viral infection, unspecified"
B350,Tinea barbae and tinea capitis
B351,Tinea unguium
B352,Tinea manuum
B353,Tinea pedis
B354,Tinea corporis
B355,Tinea imbricata
B356,Tinea inguinalis [Tinea cruris]
B358,Other dermatophytoses
B359,"Dermatophytosis, unspecified"
B360,Pityriasis versicolor
B361,Tinea nigra
B362,White piedra
B363,Black piedra
B368,Other specified superficial mycoses
B369,"Superficial mycosis, unspecified"
B370,Candidal stomatitis
B371,Pulmonary candidiasis
B372,Candidiasis of skin and nail
B373,Candidiasis of vulva and vagina
B374,Candidiasis of other urogenital sites
B375,Candidal meningitis
B376,Candidal endocarditis
B377,Candidal sepsis
B378,Candidiasis of other sites
B379,"Candidiasis, unspecified"
B380,Acute pulmonary coccidioidomycosis
B381,Chronic pulmonary coccidioidomycosis
B382,"Pulmonary coccidioidomycosis, unspecified"
B383,Cutaneous coccidioidomycosis
B384,Coccidioidomycosis meningitis
B387,Disseminated coccidioidomycosis
B388,Other forms of coccidioidomycosis
B389,"Coccidioidomycosis, unspecified"
B390,Acute pulmonary histoplasmosis capsulati
B391,Chronic pulmonary histoplasmosis capsulati
B392,"Pulmonary histoplasmosis capsulati, unspecified"
B393,Disseminated histoplasmosis capsulati
B394,"Histoplasmosis capsulati, unspecified"
B395,Histoplasmosis duboisii
B399,"Histoplasmosis, unspecified"
B400,Acute pulmonary blastomycosis
B401,Chronic pulmonary blastomycosis
B402,"Pulmonary blastomycosis, unspecified"
B403,Cutaneous blastomycosis
B407,Disseminated blastomycosis
B408,Other forms of blastomycosis
B409,"Blastomycosis, unspecified"
B410,Pulmonary paracoccidioidomycosis
B417,Disseminated paracoccidioidomycosis
B418,Other forms of paracoccidioidomycosis
B419,"Paracoccidioidomycosis, unspecified"
B420,Pulmonary sporotrichosis
B421,Lymphocutaneous sporotrichosis
B427,Disseminated sporotrichosis
B428,Other forms of sporotrichosis
B429,"Sporotrichosis, unspecified"
B430,Cutaneous chromomycosis
B431,Phaeomycotic brain abscess
B432,Subcutaneous phaeomycotic abscess and cyst
B438,Other forms of chromomycosis
B439,"Chromomycosis, unspecified"
B440,Invasive pulmonary aspergillosis
B441,Other pulmonary aspergillosis
B442,Tonsillar aspergillosis
B447,Disseminated aspergillosis
B448,Other forms of aspergillosis
B449,"Aspergillosis, unspecified"
B450,Pulmonary cryptococcosis
B451,Cerebral cryptococcosis
B452,Cutaneous cryptococcosis
B453,Osseous cryptococcosis
B457,Disseminated cryptococcosis
B458,Other forms of cryptococcosis
B459,"Cryptococcosis, unspecified"
B460,Pulmonary mucormycosis
B461,Rhinocerebral mucormycosis
B462,Gastrointestinal mucormycosis
B463,Cutaneous mucormycosis
B464,Disseminated mucormycosis
B465,"Mucormycosis, unspecified"
B468,Other zygomycoses
B469,"Zygomycosis, unspecified"
B470,Eumycetoma
B471,Actinomycetoma
B479,"Mycetoma, unspecified"
B480,Lobomycosis
B481,Rhinosporidiosis
B482,Allescheriasis
B483,Geotrichosis
B484,Penicillosis
B487,Opportunistic mycoses
B488,Other specified mycoses
B49X,Unspecified mycosis
B500,Plasmodium falciparum malaria with cerebral complications
B508,Other severe and complicated Plasmodium falciparum malaria
B509,"Plasmodium falciparum malaria, unspecified"
B510,Plasmodium vivax malaria with rupture of spleen
B518,Plasmodium vivax malaria with other complications
B519,Plasmodium vivax malaria without complication
B520,Plasmodium malariae malaria with nephropathy
B528,Plasmodium malariae malaria with other complications
B529,Plasmodium malariae malaria without complication
B530,Plasmodium ovale malaria
B531,Malaria due to simian plasmodia
B538,"Other parasitologically confirmed malaria, not elsewhere classified"
B54X,Unspecified malaria
B550,Visceral leishmaniasis
B551,Cutaneous leishmaniasis
B552,Mucocutaneous leishmaniasis
B559,"Leishmaniasis, unspecified"
B560,Gambiense trypanosomiasis
B561,Rhodesiense trypanosomiasis
B569,"African trypanosomiasis, unspecified"
B570,Acute Chagas disease with heart involvement
B571,Acute Chagas disease without heart involvement
B572,Chagas disease (chronic) with heart involvement
B573,Chagas disease (chronic) with digestive system involvement
B574,Chagas disease (chronic) with nervous system involvement
B575,Chagas disease (chronic) with other organ involvement
B580,Toxoplasma oculopathy
B581,Toxoplasma hepatitis
B582,Toxoplasma meningoencephalitis
B583,Pulmonary toxoplasmosis
B588,Toxoplasmosis with other organ involvement
B589,"Toxoplasmosis, unspecified"
B59X,Pneumocystosis
B600,Babesiosis
B601,Acanthamoebiasis
B602,Naegleriasis
B608,Other specified protozoal diseases
B64X,Unspecified protozoal disease
B650,Schistosomiasis due to Schistosoma haematobium [urinary schistosomiasis]
B651,Schistosomiasis due to Schistosoma mansoni [intestinal schistosomiasis]
B652,Schistosomiasis due to Schistosoma japonicum
B653,Cercarial dermatitis
B658,Other schistosomiases
B659,"Schistosomiasis, unspecified"
B660,Opisthorchiasis
B661,Clonorchiasis
B662,Dicrocoeliasis
B663,Fascioliasis
B664,Paragonimiasis
B665,Fasciolopsiasis
B668,Other specified fluke infections
B669,"Fluke infection, unspecified"
B670,Echinococcus granulosus infection of liver
B671,Echinococcus granulosus infection of lung
B672,Echinococcus granulosus infection of bone
B673,"Echinococcus granulosus infection, other and multiple sites"
B674,"Echinococcus granulosus infection, unspecified"
B675,Echinococcus multilocularis infection of liver
B676,"Echinococcus multilocularis infection, other and multiple sites"
B677,"Echinococcus multilocularis infection, unspecified"
B678,"Echinococcosis, unspecified, of liver"
B679,"Echinococcosis, other and unspecified"
B680,Taenia solium taeniasis
B681,Taenia saginata taeniasis
B689,"Taeniasis, unspecified"
B690,Cysticercosis of central nervous system
B691,Cysticercosis of eye
B698,Cysticercosis of other sites
B699,"Cysticercosis, unspecified"
B700,Diphyllobothriasis
B701,Sparganosis
B710,Hymenolepiasis
B711,Dipylidiasis
B718,Other specified cestode infections
B719,"Cestode infection, unspecified"
B72X,Dracunculiasis
B73X,Onchocerciasis
B740,Filariasis due to Wuchereria bancrofti
B741,Filariasis due to Brugia malayi
B742,Filariasis due to Brugia timori
B743,Loiasis
B744,Mansonelliasis
B748,Other filariases
B749,"Filariasis, unspecified"
B75X,Trichinellosis
B760,Ancylostomiasis
B761,Necatoriasis
B768,Other hookworm diseases
B769,"Hookworm disease, unspecified"
B770,Ascariasis with intestinal complications
B778,Ascariasis with other complications
B779,"Ascariasis, unspecified"
B780,Intestinal strongyloidiasis
B781,Cutaneous strongyloidiasis
B787,Disseminated strongyloidiasis
B789,"Strongyloidiasis, unspecified"
B79X,Trichuriasis
B80X,Enterobiasis
B810,Anisakiasis
B811,Intestinal capillariasis
B812,Trichostrongyliasis
B813,Intestinal angiostrongyliasis
B814,Mixed intestinal helminthiases
B818,Other specified intestinal helminthiases
B820,"Intestinal helminthiasis, unspecified"
B829,"Intestinal parasitism, unspecified"
B830,Visceral larva migrans
B831,Gnathostomiasis
B832,Angiostrongyliasis due to Parastrongylus cantonensis
B833,Syngamiasis
B834,Internal hirudiniasis
B838,Other specified helminthiases
B839,"Helminthiasis, unspecified"
B850,Pediculosis due to Pediculus humanus capitis
B851,Pediculosis due to Pediculus humanus corporis
B852,"Pediculosis, unspecified"
B853,Phthiriasis
B854,Mixed pediculosis and phthiriasis
B86X,Scabies
B870,Cutaneous myiasis
B871,Wound myiasis
B872,Ocular myiasis
B873,Nasopharyngeal myiasis
B874,Aural myiasis
B878,Myiasis of other sites
B879,"Myiasis, unspecified"
B880,Other acariasis
B881,Tungiasis [sandflea infestation]
B882,Other arthropod infestations
B883,External hirudiniasis
B888,Other specified infestations
B889,"Infestation, unspecified"
B89X,Unspecified parasitic disease
B900,Sequelae of central nervous system tuberculosis
B901,Sequelae of genitourinary tuberculosis
B902,Sequelae of tuberculosis of bones and joints
B908,Sequelae of tuberculosis of other organs
B909,Sequelae of respiratory and unspecified tuberculosis
B91X,Sequelae of poliomyelitis
B92X,Sequelae of leprosy
B940,Sequelae of trachoma
B941,Sequelae of viral encephalitis
B942,Sequelae of viral hepatitis
B948,Sequelae of other specified infectious and parasitic diseases
B949,Sequelae of unspecified infectious or parasitic disease
B950,"Streptococcus, group A, as the cause of diseases classified to other chapters"
B951,"Streptococcus, group B, as the cause of diseases classified to other chapters"
B952,Streptococcus group D and enterococcus as the cause of diseases classified to other chapters
B953,Streptococcus pneumoniae as the cause of diseases classified to other chapters
B954,Other streptococcus as the cause of diseases classified to other chapters
B955,Unspecified streptococcus as the cause of diseases classified to other chapters
B956,Staphylococcus aureus as the cause of diseases classified to other chapters
B957,Other staphylococcus as the cause of diseases classified to other chapters
B958,Unspecified staphylococcus as the cause of diseases classified to other chapters
B960,Mycoplasma pneumoniae [M. pneumoniae] as the cause of diseases classified to other chapters
B961,Klebsiella pneumoniae [K. pneumoniae] as the cause of diseases classified to other chapters
B962,Escherichia coli [E. coli] as the cause of diseases classified to other chapters
B963,Haemophilus influenzae [H. influenzae] as the cause of diseases classified to other chapters
B964,Proteus (mirabilis)(morganii) as the cause of diseases classified to other chapters
B965,Pseudomonas (aeruginosa) as the cause of diseases classified to other chapters
